TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,TEAM_ABBREVIATION,possessions,OFF_RATING,DEF_RATING,PACE
1610612737,Atlanta Hawks,25,14,11,0.56,48.4,43.4,89.6,0.485,14.0,37.8,0.369,17.2,21.9,0.785,9.9,31.8,41.8,30.8,15.2,9.6,5.0,4.4,20.6,19.4,118.0,1.6,1,11,15,15,13,5,16,9,9,13,9,25,26,18,25,20,25,1,17,4,13,13,11,26,11,16,ATL,104.53599999999999,112.87977347516647,111.27977347516648,104.53599999999999
1610612738,Boston Celtics,24,15,9,0.625,48.0,43.3,91.6,0.473,16.0,43.3,0.369,14.6,18.6,0.787,13.0,30.8,43.8,24.7,11.8,8.4,5.5,4.4,22.8,18.9,117.3,6.7,7,6,9,9,27,6,3,13,1,3,10,30,30,17,5,26,18,26,1,15,7,14,27,28,16,5,BOS,98.58399999999999,118.98482512375234,112.28482512375234,98.58399999999999
1610612751,Brooklyn Nets,23,6,17,0.261,48.0,37.8,85.0,0.445,14.0,41.2,0.341,19.7,25.3,0.779,11.2,28.6,39.8,25.3,15.8,7.0,4.2,4.2,20.5,21.4,109.4,-7.8,17,25,24,25,27,30,28,28,8,5,26,17,13,21,17,30,28,21,22,27,24,7,10,15,30,25,BKN,100.732,108.6050113171584,116.4050113171584,100.732
1610612766,Charlotte Hornets,24,7,17,0.292,48.4,40.0,88.4,0.453,13.8,40.3,0.342,20.3,24.7,0.824,11.7,33.0,44.6,25.3,16.0,6.9,5.0,4.1,19.0,21.7,114.2,-4.1,7,24,24,24,11,26,20,25,12,7,23,12,17,4,14,10,15,23,24,30,14,6,1,13,21,21,CHA,103.568,110.26571914104744,114.36571914104744,103.568
1610612741,Chicago Bulls,23,9,14,0.391,48.4,42.1,90.3,0.466,14.0,38.1,0.366,19.1,24.1,0.791,10.5,35.0,45.5,28.4,15.5,8.0,4.8,6.3,20.3,20.0,117.3,-5.3,17,20,19,20,8,15,8,17,10,10,12,20,20,16,22,3,7,7,18,23,16,29,7,22,15,24,CHI,105.904,110.76068892581961,116.0606889258196,105.904
1610612739,Cleveland Cavaliers,25,14,11,0.56,48.2,42.4,92.2,0.459,15.1,44.0,0.343,18.8,24.6,0.763,12.7,32.1,44.8,26.8,14.0,8.9,5.6,4.2,21.6,21.8,118.6,3.2,1,11,15,15,24,12,2,20,5,1,22,23,19,25,9,17,11,11,6,9,5,9,20,12,9,11,CLE,104.324,113.68429124650127,110.48429124650127,104.324
1610612742,Dallas Mavericks,25,9,16,0.36,48.6,40.4,88.2,0.458,11.7,34.4,0.341,19.3,25.6,0.756,10.0,34.0,44.0,24.8,15.6,8.2,5.8,5.1,20.6,21.7,111.8,-4.3,1,20,23,22,6,25,22,21,25,22,25,19,12,26,24,5,17,25,20,20,4,20,11,14,26,22,DAL,105.064,106.41133023680804,110.71133023680804,105.064
1610612743,Denver Nuggets,23,17,6,0.739,48.2,45.1,87.9,0.513,13.6,34.3,0.397,21.2,25.6,0.827,10.9,33.9,44.8,29.4,13.5,7.0,4.0,4.2,19.3,22.2,125.0,8.7,17,3,3,3,16,1,23,1,14,23,3,6,11,3,18,6,12,5,4,27,26,7,2,8,1,3,DEN,101.764,122.83322196454543,114.13322196454543,101.764
1610612765,Detroit Pistons,24,19,5,0.792,48.2,43.0,89.2,0.482,11.2,31.7,0.354,21.6,28.9,0.747,13.7,33.1,46.8,26.1,16.1,9.5,6.0,5.0,23.0,23.6,118.7,5.5,7,2,2,2,19,9,17,10,27,28,19,5,2,29,4,8,2,14,27,5,2,18,29,2,8,6,DET,104.316,113.78887227270984,108.28887227270984,104.316
1610612744,Golden State Warriors,25,13,12,0.52,48.2,39.4,87.7,0.449,15.9,43.8,0.364,18.8,23.0,0.819,11.3,32.2,43.5,27.4,16.0,9.7,4.4,4.0,20.7,18.8,113.5,1.8,1,15,17,17,24,28,24,26,2,2,14,21,24,5,16,16,19,8,26,3,20,4,13,29,23,15,GSW,102.52000000000001,110.71010534529846,108.91010534529846,102.52000000000001
